timestamp,spot,strikePrice,OPTION_TYP,lastPrice,openInterest,changeinOI,impliedVolatility,totalTradedVolume,expiry_days,STRIKE_PR,OPEN_INT,LAST_PRICE,VOLUME,IV,EXPIRY_DT
2025-03-17,22508.75,22000,CE,522.04,22371,671,18.0,4474,3,22000,22371,522.04,4474,18.0,T+3
2025-03-17,22508.75,22550,PE,168.22,136986,4109,18.0,27397,3,22550,136986,168.22,27397,18.0,T+3
2025-03-17,22508.75,22600,CE,105.7,88495,2654,18.0,17699,3,22600,88495,105.7,17699,18.0,T+3
2025-03-17,22508.75,22600,PE,196.95,88495,2654,18.0,17699,3,22600,88495,196.95,17699,18.0,T+3
2025-03-17,22508.75,22650,CE,87.04,65359,1960,18.0,13071,3,22650,65359,87.04,13071,18.0,T+3
2025-03-17,22508.75,22650,PE,228.29,65359,1960,18.0,13071,3,22650,65359,228.29,13071,18.0,T+3
2025-03-17,22508.75,22700,CE,70.88,51813,1554,18.0,10362,3,22700,51813,70.88,10362,18.0,T+3
2025-03-17,22508.75,22700,PE,262.13,51813,1554,18.0,10362,3,22700,51813,262.13,10362,18.0,T+3
2025-03-17,22508.75,22750,PE,298.31,42918,1287,18.0,8583,3,22750,42918,298.31,8583,18.0,T+3
2025-03-17,22508.75,22550,CE,126.97,136986,4109,18.0,27397,3,22550,136986,126.97,27397,18.0,T+3
2025-03-17,22508.75,22800,CE,45.4,36630,1098,18.0,7326,3,22800,36630,45.4,7326,18.0,T+3
2025-03-17,22508.75,22850,CE,35.69,31948,958,18.0,6389,3,22850,31948,35.69,6389,18.0,T+3
2025-03-17,22508.75,22850,PE,376.94,31948,958,18.0,6389,3,22850,31948,376.94,6389,18.0,T+3
2025-03-17,22508.75,22900,CE,27.71,28328,849,18.0,5665,3,22900,28328,27.71,5665,18.0,T+3
2025-03-17,22508.75,22900,PE,418.96,28328,849,18.0,5665,3,22900,28328,418.96,5665,18.0,T+3
2025-03-17,22508.75,22950,CE,21.25,25445,763,18.0,5089,3,22950,25445,21.25,5089,18.0,T+3
2025-03-17,22508.75,22950,PE,462.5,25445,763,18.0,5089,3,22950,25445,462.5,5089,18.0,T+3
2025-03-17,22508.75,23000,CE,16.09,23094,692,18.0,4618,3,23000,23094,16.09,4618,18.0,T+3
2025-03-17,22508.75,23000,PE,507.34,23094,692,18.0,4618,3,23000,23094,507.34,4618,18.0,T+3
2025-03-17,22508.75,22800,PE,336.65,36630,1098,18.0,7326,3,22800,36630,336.65,7326,18.0,T+3
2025-03-17,22508.75,22500,PE,142.17,212765,6382,18.0,42553,3,22500,212765,142.17,42553,18.0,T+3
2025-03-17,22508.75,22750,CE,57.06,42918,1287,18.0,8583,3,22750,42918,57.06,8583,18.0,T+3
2025-03-17,22508.75,22450,PE,118.84,114942,3448,18.0,22988,3,22450,114942,118.84,22988,18.0,T+3
2025-03-17,22508.75,22500,CE,150.92,212765,6382,18.0,42553,3,22500,212765,150.92,42553,18.0,T+3
2025-03-17,22508.75,22050,CE,476.69,24570,737,18.0,4914,3,22050,24570,476.69,4914,18.0,T+3
2025-03-17,22508.75,22050,PE,17.94,24570,737,18.0,4914,3,22050,24570,17.94,4914,18.0,T+3
2025-03-17,22508.75,22100,CE,432.61,27247,817,18.0,5449,3,22100,27247,432.61,5449,18.0,T+3
2025-03-17,22508.75,22100,PE,23.86,27247,817,18.0,5449,3,22100,27247,23.86,5449,18.0,T+3
2025-03-17,22508.75,22150,CE,390.01,30581,917,18.0,6116,3,22150,30581,390.01,6116,18.0,T+3
